2022-02-10 02:30:55,732 p=117489 u=root n=ansible | PLAY [trigger_DB] ******************************************************************
2022-02-10 02:30:55,743 p=117489 u=root n=ansible | TASK [Gathering Facts] *************************************************************
2022-02-10 02:30:57,614 p=117489 u=root n=ansible | ok: [DB]
2022-02-10 02:30:57,619 p=117489 u=root n=ansible | TASK [Installing Mysql  and dependencies] ******************************************
2022-02-10 02:31:03,829 p=117489 u=root n=ansible | changed: [DB] => (item=python3-setuptools)
2022-02-10 02:31:26,863 p=117489 u=root n=ansible | changed: [DB] => (item=python3-pip)
2022-02-10 02:31:29,080 p=117489 u=root n=ansible | changed: [DB] => (item=python3-pymysql)
2022-02-10 02:31:31,364 p=117489 u=root n=ansible | changed: [DB] => (item=python3-mysqldb)
2022-02-10 02:31:54,036 p=117489 u=root n=ansible | changed: [DB] => (item=mysql-server)
2022-02-10 02:31:56,037 p=117489 u=root n=ansible | changed: [DB] => (item=mysql-client)
2022-02-10 02:31:58,324 p=117489 u=root n=ansible | changed: [DB] => (item=default-libmysqlclient-dev)
2022-02-10 02:31:58,339 p=117489 u=root n=ansible | TASK [Check if this old version is absent PyMySQL] *********************************
2022-02-10 02:31:59,841 p=117489 u=root n=ansible | ok: [DB]
2022-02-10 02:31:59,846 p=117489 u=root n=ansible | TASK [Enable remote login to mysql] ************************************************
2022-02-10 02:32:00,220 p=117489 u=root n=ansible | changed: [DB]
2022-02-10 02:32:00,225 p=117489 u=root n=ansible | TASK [Change the authentication plugin of MySQL root user to mysql_native_password] ***
2022-02-10 02:32:00,603 p=117489 u=root n=ansible | changed: [DB]
2022-02-10 02:32:00,608 p=117489 u=root n=ansible | TASK [Flush Privileges] ************************************************************
2022-02-10 02:32:00,880 p=117489 u=root n=ansible | changed: [DB]
2022-02-10 02:32:00,885 p=117489 u=root n=ansible | TASK [Create user with password, all database privileges and 'WITH GRANT OPTION'] ***
2022-02-10 02:32:01,399 p=117489 u=root n=ansible | changed: [DB]
2022-02-10 02:32:01,404 p=117489 u=root n=ansible | TASK [Flush Privileges] ************************************************************
2022-02-10 02:32:01,673 p=117489 u=root n=ansible | changed: [DB]
